Id;Designator;Package;Quantity;Designation;Supplier and ref
1;K4,K3,K2,K1;SOP254P700X230-4N;4;G3VM-61VY2;
2;JP6,JP5,JP1;HDRV2W110P0X254_1X2_508X254X854P;3;61300211121;
3;J3;HDRV6W64P0X254_1X6_1524X254X869P;1;61300611121;
4;J2;TBL007A50004GY;1;TBL007A-500-04GY;
5;J1;2464;1;2464;
6;IC1;SOIC127P600X175-8N;1;PIC12F1822-I_SN;
7;D7;SD0805;1;SD0805S040S0R5;
8;C6,C1,C5,C4,C3;C_0805_HandSoldering;5;100nF;
9;U2,U1;TO-92_Molded_Narrow;2;DRV5032AJDBZR;
10;C2;C_0805_HandSoldering;1;1uF;
11;R15,R4;R_0805_HandSoldering;2;270R;
12;D2,D1;LED_0805_HandSoldering;2;LED;
13;R14;R_0805_HandSoldering;1;100R;
14;R10,R5;R_0805_HandSoldering;2;10K;
15;R9,R8,R7,R6;R_0805_HandSoldering;4;470R;
