"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J4";"2464";1;"2464";;;
2;"LED3,LED2";"GardenGateLED";2;"LTST-C171YKT (Yellow)";;;
3;"LED1";"GardenGateLED";1;"LTST-C171KRKT (Red)";;;
4;"REF**";"KOCH Engineering Logo";1;"KOCH Engineering Logo";;;
5;"R15,R4,R1";"RESC2012X60N";3;"270R";;;
6;"R14";"RESC2012X60N";1;"100R";;;
7;"R10,R5";"RESC2012X60N";2;"10K";;;
8;"R9,R8,R7,R6";"RESC2012X60N";4;"470R";;;
9;"K4,K3,K2,K1";"SOP254P700X230-4N";4;"G3VM-61VY2";;;
10;"JP2,JP1,JP3";"HDRV2W110P0X254_1X2_508X254X854P";3;"61300211121";;;
11;"J3";"HDRV6W64P0X254_1X6_1524X254X869P";1;"61300611121";;;
12;"IC1";"SOIC127P600X175-8N";1;"PIC12F1822-I_SN";;;
13;"D1";"SD0805";1;"SD0805S040S0R5";;;
14;"C6,C5,C4,C3,C1";"CAPC2012X88N";5;"100nF";;;
15;"C2";"CAPC2012X135N";1;"1uF";;;
16;"U2,U1";"TO-92_Molded_Narrow";2;"DRV5032AJDBZR";;;
17;"J2";"SHDR8W110P935X350_2X4_1550X1800X2440P";1;"1841513";;;
18;"TP1+,TP2-";"TestPoint_Pad_D3.0mm";2;"TestPoint";;;
